B014;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;120
B014;INSERT;--HT FRUIT SYRUP VALENCIA ORANGE;D153;20
B014;INSERT;--HT LEMONGRASS POWDER;D168;20
B015;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;140
B015;INSERT;--HT YOGHURT POWDER;D151;20
B015;INSERT;--HT FRUIT SQUASH STRAWBERRY DREAM;D154;20
B016;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;140
B016;INSERT;--HT YOGHURT POWDER;D151;20
B016;INSERT;--HT FRUIT SQUASH KIWI DELIGHT;D155;20
B017;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;140
B017;INSERT;--HT YOGHURT POWDER;D151;20
B017;INSERT;--HT FRUIT SYRUP MANGO TANGO;D152;20
B018;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;140
B018;INSERT;--HT YOGHURT POWDER;D151;20
B018;INSERT;--HT FRUIT SYRUP VALENCIA ORANGE;D153;20
B019;INSERT;--HT FRUIT SQUASH STRAWBERRY DREAM;D154;30
B019;INSERT;--HT SYRUP MINT;D127;5
B019;INSERT;--MOSA SODA CHARGER;D141;120
B020;INSERT;--HT FRUIT SQUASH KIWI DELIGHT;D155;30
B020;INSERT;--HT SYRUP MINT;D127;5
B020;INSERT;--MOSA SODA CHARGER;D141;120
B021;INSERT;--HT FRUIT SYRUP MANGO TANGO;D152;30
B021;INSERT;--HT SYRUP MINT;D127;5
B021;INSERT;--MOSA SODA CHARGER;D141;120
B022;INSERT;--HT FRUIT SYRUP VALENCIA ORANGE;D153;30
B022;INSERT;--HT SYRUP MINT;D127;5
B022;INSERT;--MOSA SODA CHARGER;D141;120
B023;INSERT;--[MENU NO INGREDIENTS];Z000;1
B024;INSERT;--[MENU NO INGREDIENTS];Z000;1
B025;INSERT;--TEA JAVA BREAKFAST 50 TEABAGS @2 GRAM;D171;1
B026;INSERT;--JASMINE GREENTEA SENCHA TEA;D170;1
B027;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;120
B027;INSERT;--HT Cookies n Crème Powder;D175;30
